Nama Negara,Kode Negara,Tahun,Luas_Lahan_Pertanian_%
Filipina,PHL,2000,37.6764932756481
Indonesia,IDN,2000,23.7643400679301
Kamboja,KHM,2000,27.0224337185588
Malaysia,MYS,2000,21.1191599452138
Myanmar,MMR,2000,16.5437463659455
Thailand,THA,2000,42.8565836089961
Timor Leste,TLS,2000,22.6630800268998
Vietnam,VNM,2000,28.2260657107953
Filipina,PHL,2001,37.5088037025858
Indonesia,IDN,2001,24.2026845001302
Kamboja,KHM,2001,27.7022433718559
Malaysia,MYS,2001,21.1444224623345
Myanmar,MMR,2001,16.7380726504881
Thailand,THA,2001,43.0386188807767
Timor Leste,TLS,2001,22.6361802286483
Vietnam,VNM,2001,30.4831399273522
Filipina,PHL,2002,37.3444679209847
Indonesia,IDN,2002,24.5222551675908
Kamboja,KHM,2002,28.3254022207115
Malaysia,MYS,2002,21.4198752092528
Myanmar,MMR,2002,16.7166508553417
Thailand,THA,2002,43.2206541525573
Timor Leste,TLS,2002,22.6092804303968
Vietnam,VNM,2002,30.4459829335051
Filipina,PHL,2003,37.6966160244156
Indonesia,IDN,2003,24.7885640571414
Kamboja,KHM,2003,28.8919102651258
Malaysia,MYS,2003,21.6595343174555
Myanmar,MMR,2003,16.8038681641522
Thailand,THA,2003,43.4026894243379
Timor Leste,TLS,2003,22.4478816408877
Vietnam,VNM,2003,30.7575708710936
Filipina,PHL,2004,38.4679880605024
Indonesia,IDN,2004,24.8373681438111
Kamboja,KHM,2004,29.6283707228643
Malaysia,MYS,2004,21.7065895601887
Myanmar,MMR,2004,16.9599951026905
Thailand,THA,2004,43.5847246961185
Timor Leste,TLS,2004,22.4209818426362
Vietnam,VNM,2004,31.5915760957203
Filipina,PHL,2005,38.082302042459
Indonesia,IDN,2005,24.9394340083909
Kamboja,KHM,2005,30.3421708588262
Malaysia,MYS,2005,21.7148379242124
Myanmar,MMR,2005,17.2385820986899
Thailand,THA,2005,43.7667599678992
