Nama Negara,Kode Negara,Tahun,Luas_Lahan_Pertanian_%,Kalori_per_Kapita,Produksi_Jagung_(ton),Produksi_Beras_(ton),Produksi_Minyak_Sawit_(ton),Produksi_Kopi_(ton),Produksi_Kakao_(ton),Produksi_Teh_(ton),Produksi_Ubi_Jalar_(ton)
Filipina,PHL,2000,3.6552320065902353,7.7552178972245915,15.32205269255502,14.19882480382942,12.422898683312507,13.370184256118922,12.66185379433568,8.186854108498471,13.271738099049502
Indonesia,IDN,2000,3.2094047179132916,7.764940936442701,16.085262597200884,18.95452617316621,10.675570674683762,9.467150780760877,13.628068240425993,13.32583534563569,13.21521836386843
Kamboja,KHM,2000,3.33300539361667,7.637899982083634,11.963829095018838,11.295279275435373,0.0,8.987321812850125,2.772588722239781,5.602118820879701,18.53892355833875
Malaysia,MYS,2000,3.0964441987726667,7.971795584388974,11.082157933374816,15.751850703118668,9.74368258397129,7.696667081526462,8.782783017393202,13.808054027005698,12.584909685929155
Myanmar,MMR,2000,2.864697553985633,7.622837028321424,12.790801863423264,11.00678883069037,10.118639253920785,13.414955973475974,7.386594756890272,13.362558166568656,13.635012138245497
Thailand,THA,2000,3.7809248468641736,7.85458468238365,15.313548420078702,18.032563482040906,11.446796346169297,12.950222835349019,11.61359218197036,13.37719844539828,17.35719033227003
Timor Leste,TLS,2000,3.1639160287294597,7.671648020837171,11.390192699587931,14.61423053164959,8.216358332386156,10.97337452485014,3.5281236752345424,8.55325507456126,8.006700845440367
Vietnam,VNM,2000,3.3750609724176637,7.761472448588615,14.511603894342002,12.252961002410009,11.91521588575378,11.342642354427952,11.718227600554986,8.385716828627851,0.0
Filipina,PHL,2001,3.650886882752919,7.746162044755912,15.325131008040213,14.258944955495934,13.671961613941619,6.782192056006791,13.780105739017285,13.637992884026096,13.488123921989166
Indonesia,IDN,2001,3.2269505166266406,7.760526746100409,16.050587498159462,18.857189447890434,10.606609816118151,9.44951474036292,13.627075028874268,11.778682429256065,13.16413448937009
Kamboja,KHM,2001,3.356975285977508,7.6691093689083765,12.131295218572351,11.28924426915111,0.0,8.987321812850125,1.791759469228055,5.5053315359323625,18.630504466907258
