Nama Negara,Kode Negara,Tahun,Kalori_per_Kapita
Filipina,PHL,2000,2332.7178
Indonesia,IDN,2000,2355.5193
Kamboja,KHM,2000,2074.3809
Malaysia,MYS,2000,2897.0564
Myanmar,MMR,2000,2043.3538
Thailand,THA,2000,2576.5244
Timor Leste,TLS,2000,2145.6162
Vietnam,VNM,2000,2347.3599
Filipina,PHL,2001,2311.6794
Indonesia,IDN,2001,2345.1401
Kamboja,KHM,2001,2140.1736
Malaysia,MYS,2001,2866.8647
Myanmar,MMR,2001,2090.5217
Thailand,THA,2001,2554.4224
Timor Leste,TLS,2001,2080.3125
Vietnam,VNM,2001,2409.8567
Filipina,PHL,2002,2332.0754
Indonesia,IDN,2002,2373.1897
Kamboja,KHM,2002,2238.2434
Malaysia,MYS,2002,2809.8538
Myanmar,MMR,2002,2133.1355
Thailand,THA,2002,2610.83
Timor Leste,TLS,2002,2109.5317
Vietnam,VNM,2002,2473.1213
Filipina,PHL,2003,2330.9841
Indonesia,IDN,2003,2392.3088
Kamboja,KHM,2003,2240.7344
Malaysia,MYS,2003,2817.9324
Myanmar,MMR,2003,2185.2588
Thailand,THA,2003,2626.5164
Timor Leste,TLS,2003,2094.1917
Vietnam,VNM,2003,2531.062
Filipina,PHL,2004,2399.371
Indonesia,IDN,2004,2399.094
Kamboja,KHM,2004,2258.5557
Malaysia,MYS,2004,2840.1182
Myanmar,MMR,2004,2217.7837
Thailand,THA,2004,2636.2144
Timor Leste,TLS,2004,2123.2595
Vietnam,VNM,2004,2595.579
Filipina,PHL,2005,2410.3528
Indonesia,IDN,2005,2399.6846
Kamboja,KHM,2005,2312.5935
Malaysia,MYS,2005,2792.7483
Myanmar,MMR,2005,2260.55
Thailand,THA,2005,2701.1128
Timor Leste,TLS,2005,2133.138
Vietnam,VNM,2005,2585.4734
Filipina,PHL,2006,2453.8389
Indonesia,IDN,2006,2416.7554
Kamboja,KHM,2006,2362.355
Malaysia,MYS,2006,2799.3337
Myanmar,MMR,2006,2332.3882
Thailand,THA,2006,2767.2837
Timor Leste,TLS,2006,2124.373
Vietnam,VNM,2006,2591.1855
Filipina,PHL,2007,2507.9426
Indonesia,IDN,2007,2457.2183
Kamboja,KHM,2007,2371.6497
Malaysia,MYS,2007,2818.6182
Myanmar,MMR,2007,2410.2163
Thailand,THA,2007,2723.733
Timor Leste,TLS,2007,2109.3245
Vietnam,VNM,2007,2636.9502
Filipina,PHL,2008,2518.1292
Indonesia,IDN,2008,2481.3433
