Nama Negara,Tahun,Produksi_Jagung_(ton),Produksi_Beras_(ton),Produksi_Minyak_Sawit_(ton),Produksi_Kopi_(ton),Produksi_Kakao_(ton),Produksi_Teh_(ton),Produksi_Ubi_Jalar_(ton)
Filipina,2000,4511104.0,1467138.0,248424.6,640614.208,315480.018,3592.4,580553.0
Indonesia,2000,9677000.0,170547800.0,43284.4,12927.0,829075.94,612824.4,548650.3
Kamboja,2000,156972.0,80440.0,0.0,8000.0,15.0,270.0,112551736.0
Malaysia,2000,65000.0,6933328.5,17045.2,2200.0,6520.0,992570.2,292116.0
Myanmar,2000,358900.0,60281.0,24800.0,669947.4,1613.2,635747.4,834853.0
Thailand,2000,4472903.0,67833278.6,93600.0,420929.424,110589.8,645123.4,34524863.49
Timor Leste,2000,88449.0,2222693.0,3700.0,58300.0,33.06,5182.6,3000.0
Vietnam,2000,2005900.0,209600.0,149523.552,84341.6,122788.6,4383.0,0.0
Filipina,2001,4525012.0,1558048.0,866277.4,881.0,965213.6,837345.2,720804.0
Indonesia,2001,9347200.0,154729570.0,40400.0,12701.0,828252.9,130440.8,521326.9
Kamboja,2001,185589.0,79956.0,0.0,8000.0,5.0,245.0,123346060.0
Malaysia,2001,67000.0,7328227.5,17045.2,2490.0,6520.0,992570.2,278293.0
Myanmar,2001,524000.0,68372.0,23991.53,281519.566,6082.886,321972.2,914488.0
Thailand,2001,4496960.0,67833278.6,93600.0,420929.424,110589.8,645123.4,34524863.49
Timor Leste,2001,69000.0,2093997.0,3955.0,59500.0,33.03,5789.6,3000.0
Vietnam,2001,2161700.0,243317.412,3140.0,33980.8,239231.4,5007.4,0.0
Filipina,2002,4319262.0,1363460.0,548725.0,1719.4,638500.8,1079779.6,730830.0
Indonesia,2002,9585277.0,181787630.0,7520.0,12701.0,821955.9,637720.2,533677.1
Kamboja,2002,148897.0,76700.0,0.0,8000.0,16.0,168.0,131597530.0
Malaysia,2002,70000.0,5593342.0,17045.2,2320.0,6520.0,992570.2,288164.0
Myanmar,2002,593400.0,65177.0,10212.8,637494.674,7707.632,571370.6,965613.0
Thailand,2002,4259289.0,106655104.6,55350.0,770794.604,189228.4,707312.8,11786181.53
Timor Leste,2002,93714.0,2167715.0,5376.0,62048.0,33.0,5789.6,3000.0
Vietnam,2002,2511200.0,264422.212,3080.0,35540.8,245769.0,2339.0,0.0
Filipina,2003,4615625.0,1457175.0,690041.8,1105.4,765540.6,1079779.6,713500.0
Indonesia,2003,10886442.0,186815100.0,7520.0,15478.0,774708.1,652913.4,529145.4
Kamboja,2003,314591.0,84000.0,0.0,8000.0,15.0,232.0,117911170.0
Malaysia,2003,72000.0,4403684.5,13227.8,1960.0,5066.0,993490.4,269670.44
Myanmar,2003,692900.0,66500.0,10152.8,639672.814,7731.632,570247.2,993794.0
Thailand,2003,4248989.0,1754911.2,13402.0,828703.29,404.712,51469.6,44315492.2
Timor Leste,2003,70175.0,2085253.0,5728.0,71190.0,32.97,5789.6,2000.0
Vietnam,2003,3136300.0,354891.012,3080.0,35513.462,714534.4,3158.4,7209.2
Filipina,2004,5413386.0,1578169.0,370442.0,501727.04,485136.114,245883.8,743937.0
Indonesia,2004,11225243.0,182122600.0,7520.0,12700.0,719504.8,644292.8,538315.0
Kamboja,2004,256665.0,93488.0,0.0,8000.0,12.0,200.0,118845550.0
Malaysia,2004,72000.0,5718187.0,17045.2,2270.0,6520.0,992570.2,256434.0
Myanmar,2004,771100.0,45000.0,40866.4,414619.81,559697.4,658347.0,1002708.0
Thailand,2004,4341474.0,19125019.49,134602.0,2226346.5,1180.4,69967.0,33496208.8
Timor Leste,2004,82209.0,2369446.0,3800.0,70103.0,32.62,5789.6,1040.0
Vietnam,2004,3430900.0,651298.0,2434.8,26750.986,1797270.0,3928.6,100.0
Filipina,2005,5253160.0,1451011.0,412074.2,565572.56,521469.2,818118.8,819641.0
Indonesia,2005,12523894.0,203381380.0,7980.0,12701.0,658298.8,587532.2,541057.0
Kamboja,2005,247760.0,36719.0,0.0,8000.0,15.0,200.0,106014160.0
Malaysia,2005,75000.0,6004940.0,17045.2,3163825.0,6520.0,992570.2,275322.8
Myanmar,2005,903500.0,50000.0,14391.6,268.2,535031.6,81015.6,1027946.0
Thailand,2005,4093634.0,474156.294,13402.0,2933241.9,67905.712,51469.6,44286044.8
Timor Leste,2005,92219.0,2264663.0,4524.0,66152.0,35.0,5789.6,1000.0
Vietnam,2005,3787100.0,1015513.8,2434.8,15966.986,1824166.6,3928.6,200.0
Filipina,2006,6082109.0,1666273.0,846490.4,853.2,940421.8,854811.6,836560.0
Indonesia,2006,11609463.0,204825490.0,126520.0,12175.0,658518.8,587532.2,559713.8
Kamboja,2006,376938.0,76234.0,0.0,8000.0,12.0,200.0,110291840.0
Malaysia,2006,80000.0,5787142.5,17045.2,3213383.0,6520.0,992570.2,300987.78
